Unnamed: 0,YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
16853,2021,8,WI,Total Electric Power Industry,Total,6853120.0
16903,2021,8,WV,Total Electric Power Industry,Total,7202366.0
16929,2021,8,WY,Total Electric Power Industry,Total,3823653.0
16957,2021,9,AK,Total Electric Power Industry,Total,460316.0
16992,2021,9,AL,Total Electric Power Industry,Total,12263548.0
17026,2021,9,AR,Total Electric Power Industry,Total,5721982.0
17066,2021,9,AZ,Total Electric Power Industry,Total,10115012.0
17102,2021,9,CA,Total Electric Power Industry,Total,18078707.0
17165,2021,9,CO,Total Electric Power Industry,Total,4662011.0
17212,2021,9,CT,Total Electric Power Industry,Total,3722138.0
17253,2021,9,DC,Total Electric Power Industry,Total,18491.0
17264,2021,9,DE,Total Electric Power Industry,Total,297368.0
17294,2021,9,FL,Total Electric Power Industry,Total,22506660.0
17340,2021,9,GA,Total Electric Power Industry,Total,10203614.0
17386,2021,9,HI,Total Electric Power Industry,Total,789399.0
17426,2021,9,IA,Total Electric Power Industry,Total,5731383.0
17469,2021,9,ID,Total Electric Power Industry,Total,1197794.0
17507,2021,9,IL,Total Electric Power Industry,Total,14611662.0
17557,2021,9,IN,Total Electric Power Industry,Total,7625956.0
17603,2021,9,KS,Total Electric Power Industry,Total,4814452.0
17630,2021,9,KY,Total Electric Power Industry,Total,5663576.0
17656,2021,9,LA,Total Electric Power Industry,Total,7401591.0
17693,2021,9,MA,Total Electric Power Industry,Total,1493892.0
17739,2021,9,MD,Total Electric Power Industry,Total,3378974.0
17781,2021,9,ME,Total Electric Power Industry,Total,879648.0
17823,2021,9,MI,Total Electric Power Industry,Total,9307213.0
17879,2021,9,MN,Total Electric Power Industry,Total,4694826.0
17929,2021,9,MO,Total Electric Power Industry,Total,7122833.0
17973,2021,9,MS,Total Electric Power Industry,Total,5313062.0
18001,2021,9,MT,Total Electric Power Industry,Total,1903277.0
18036,2021,9,NC,Total Electric Power Industry,Total,10659491.0
18086,2021,9,ND,Total Electric Power Industry,Total,3578714.0
18113,2021,9,NE,Total Electric Power Industry,Total,3275053.0
18146,2021,9,NH,Total Electric Power Industry,Total,1667083.0
18181,2021,9,NJ,Total Electric Power Industry,Total,5456777.0
18227,2021,9,NM,Total Electric Power Industry,Total,3092005.0
18261,2021,9,NV,Total Electric Power Industry,Total,3934919.0
18300,2021,9,NY,Total Electric Power Industry,Total,10165323.0
